experiment,watershed,block,plot,strip,gram,forb,woody,year,notes
conSME,N4B,Q,5,2,21,0.15,,2019,
conSME,N4B,Q,5,1,31.74,0.89,,2019,
conSME,N4B,Q,6,2,13.67,28,,2019,
conSME,N4B,Q,6,1,28.42,62.6,,2019,
conSME,N4B,P,3,2,9.78,10.24,,2019,
conSME,N4B,P,4,1,22.62,3.73,,2019,
conSME,N4B,P,4,2,27.11,1.85,,2019,
conSME,N4B,P,3,1,14.78,11.25,,2019,
conSME,N1A,F,2,1,37.47,27.62,2.82,2019,
conSME,N1A,F,2,2,17.34,27.49,,2019,
conSME,N1A,F,1,1,11.84,65.03,0.62,2019,
conSME,N1A,F,1,2,22.25,110.19,,2019,
conSME,N1A,H,2,1,79.45,7.02,76.05,2019,
conSME,N1A,H,2,2,51.32,4.51,0.033,2019,
conSME,N1A,H,1,2,46.09,26,,2019,
conSME,N1A,H,1,1,42.03,6.71,,2019,
conSME,N4B,L,4,2,38.91,16.8,,2019,
conSME,N4B,L,4,1,45.96,2,,2019,
conSME,N4B,L,3,2,3.4,0.98,,2019,
conSME,N4B,L,3,1,4.2,0.4,,2019,
conSME,N1A,I,1,2,33.13,26.43,,2019,
conSME,N1A,I,1,1,35.09,15.67,,2019,
conSME,N1A,I,2,2,18.44,36.29,,2019,
conSME,N1A,I,2,1,18.07,18.76,,2019,
conSME,N4B,N,3,2,43.16,6.95,,2019,
conSME,N4B,N,3,1,9.64,7.58,,2019,
conSME,N4B,N,4,1,51.87,13.2,,2019,
conSME,N4B,N,4,2,45.83,6.45,,2019,
conSME,N4B,P,5,1,27.36,,,2019,
conSME,N4B,P,6,2,6.05,1.04,0.82,2019,
conSME,N4B,P,6,1,2.47,14.49,,2019,
conSME,N4B,P,5,2,25.91,2.91,3,2019,
conSME,N1A,H,5,1,29.54,31.91,,2019,
conSME,N1A,H,6,1,35.93,13.98,,2019,
conSME,N1A,H,6,2,37.29,25.67,,2019,
conSME,N1A,H,5,2,32.71,20.62,,2019,
conSME,N1A,A,4,1,43,62.52,,2019,
conSME,N1A,A,3,2,15.58,77.9,,2019,
conSME,N1A,A,3,1,23.02,49.51,,2019,
conSME,N1A,A,4,2,21.71,56.09,,2019,
conSME,N4B,O,4,1,28.58,4.11,,2019,
conSME,N4B,O,4,2,33.96,1.85,,2019,
conSME,N4B,O,3,2,10.04,17.76,,2019,
conSME,N4B,O,3,1,10.6,2.24,,2019,
conSME,N4B,R,5,1,30.76,17.58,,2019,
conSME,N4B,R,6,2,9.07,1.67,,2019,
conSME,N4B,R,5,2,28.47,0.91,,2019,
conSME,N4B,R,6,1,5.45,0.42,,2019,
conSME,N4B,R,2,2,28.83,1.67,,2019,
conSME,N4B,R,1,1,21.49,1.07,,2019,
conSME,N4B,R,2,1,16.78,10.29,,2019,
conSME,N4B,R,1,2,17.02,1.02,,2019,
conSME,N1A,F,6,1,45.63,64.61,14.11,2019,
conSME,N1A,F,6,2,33.87,1.38,7.4,2019,
conSME,N1A,F,5,1,44.67,36.14,,2019,
conSME,N1A,F,5,2,44.78,40.47,,2019,
conSME,N1A,I,4,1,66.71,17.51,,2019,
conSME,N1A,I,3,1,19.11,27.29,,2019,
conSME,N1A,I,3,2,28.91,25.96,,2019,
conSME,N1A,I,4,2,35.54,35,,2019,
conSME,N4B,Q,4,1,47.82,2.07,,2019,
conSME,N4B,Q,4,2,44.03,1.31,,2019,
conSME,N4B,Q,3,1,25.47,0.09,,2019,
conSME,N4B,Q,3,2,21.47,,,2019,
conSME,N4B,L,5,2,58.18,3.95,,2019,
conSME,N4B,L,6,1,9.69,,,2019,
conSME,N4B,L,5,1,55.63,9.54,,2019,
conSME,N1A,G,6,2,27.67,13.82,,2019,
conSME,N1A,G,6,1,60.36,72.43,,2019,
conSME,N1A,G,5,2,42.74,1.85,,2019,
conSME,N1A,G,5,1,45.69,4.51,,2019,
conSME,N4B,O,6,2,24.25,0.71,,2019,
conSME,N4B,O,5,1,31.16,0.91,,2019,
conSME,N4B,O,6,1,27.11,1.58,,2019,
conSME,N4B,O,5,2,26.87,1.69,,2019,
conSME,N1A,F,4,1,58.18,18.8,,2019,
conSME,N1A,F,3,1,19.47,1.16,19.07,2019,
conSME,N1A,F,4,2,48.03,9.74,,2019,
conSME,N1A,F,4,1,22.87,7.87,0.8,2019,
conSME,N4B,K,5,1,38.91,1.44,,2019,
conSME,N4B,K,5,2,69.31,1.87,,2019,
conSME,N4B,K,6,2,5.96,19.65,,2019,
conSME,N4B,K,6,1,3.29,8.44,,2019,
conSME,N4B,O,2,1,37.4,0.31,,2019,
conSME,N4B,O,1,1,45.54,10.53,,2019,
conSME,N4B,O,2,2,27.65,0.59,,2019,
conSME,N4B,O,1,2,57.62,1.45,5.51,2019,
conSME,N1A,D,6,2,30.42,16.11,,2019,
conSME,N1A,D,5,1,32.93,30.36,,2019,
conSME,N1A,D,5,2,27.71,14.25,,2019,
conSME,N1A,D,6,1,35.23,22.18,,2019,
conSME,N1A,D,4,2,50.2,51.96,,2019,
conSME,N1A,D,3,2,63.05,16.69,,2019,
conSME,N1A,D,3,1,31.25,12.02,,2019,
conSME,N1A,D,4,1,21.64,27.54,,2019,
conSME,N4B,K,3,2,11.89,1.91,,2019,
conSME,N4B,K,4,2,40.02,3.22,,2019,
conSME,N4B,K,4,1,35.74,1.71,,2019,
conSME,N4B,K,3,1,7.95,0.95,,2019,
conSME,N4B,M,5,1,46.51,2.71,,2019,
conSME,N4B,M,5,2,39.85,2.27,,2019,
conSME,N4B,M,6,2,7.36,1.82,,2019,
conSME,N4B,M,6,1,7.76,3.8,,2019,
conSME,N1A,C,2,1,34.43,30.36,,2019,
conSME,N1A,C,1,1,43.2,31.4,,2019,
conSME,N1A,C,2,2,29.76,35.58,,2019,
conSME,N1A,C,1,2,24.56,60.34,,2019,
conSME,N1A,E,6,1,51.98,16.45,,2019,
conSME,N1A,E,6,2,54.96,8.58,,2019,
conSME,N1A,E,5,1,35.07,31.87,,2019,
conSME,N1A,E,5,2,42.96,9.62,,2019,
conSME,N1A,C,3,1,31.18,64.36,2.4,2019,
conSME,N1A,C,3,2,12.67,45.76,1.58,2019,
conSME,N1A,C,4,1,32,37.54,,2019,
conSME,N1A,C,4,2,41.4,46.07,,2019,
conSME,N4B,L,2,1,30.69,1.15,,2019,
conSME,N4B,L,2,2,29.42,3.31,,2019,
conSME,N4B,L,1,1,33.63,3.2,,2019,
conSME,N4B,L,1,2,33.98,0.3,,2019,
conSME,N1A,A,5,1,30.16,44.91,,2019,
conSME,N1A,A,6,2,11.02,57.14,,2019,
conSME,N1A,A,6,1,9.25,57.42,,2019,
conSME,N1A,A,5,2,33.49,16.51,,2019,
conSME,N4B,R,4,2,43.54,48.27,,2019,
conSME,N4B,R,3,2,6.65,0.18,,2019,
conSME,N4B,R,4,1,36.36,24.29,,2019,
conSME,N4B,R,3,1,6.76,0.56,,2019,
conSME,N4B,J,2,2,53.12,4.75,,2019,
conSME,N4B,J,1,1,7.35,9.47,,2019,
conSME,N4B,J,1,2,43.8,15.33,,2019,
conSME,N4B,J,2,1,51.8,1.27,,2019,
conSME,N4B,K,2,2,36.14,1.24,,2019,
conSME,N4B,K,1,2,25.98,0.82,,2019,
conSME,N4B,K,1,1,38.16,2.8,,2019,
conSME,N4B,K,2,1,58.58,0.71,,2019,
conSME,N1A,B,5,1,16.84,44.2,,2019,
conSME,N1A,B,6,2,28.4,24.09,,2019,
conSME,N1A,B,5,2,40.54,52.69,,2019,
conSME,N1A,B,6,1,39.22,33.25,,2019,
conSME,N1A,A,1,1,12.6,93.41,,2019,
conSME,N1A,A,1,2,17,74.49,,2019,
conSME,N1A,A,2,2,26.6,43.12,,2019,
conSME,N1A,A,2,1,20.71,41.89,4.15,2019,
conSME,N1A,B,4,2,21.13,33.42,,2019,
conSME,N1A,B,4,1,17.82,46.71,,2019,
conSME,N1A,B,3,1,35.07,33.2,,2019,
conSME,N1A,B,3,2,23.11,12.71,2.91,2019,
conSME,N4B,M,3,1,6.58,27.47,,2019,
conSME,N4B,M,4,2,29.49,1.98,,2019,
conSME,N4B,M,3,2,7.29,19.18,,2019,
conSME,N4B,M,4,1,35.74,1.45,,2019,
conSME,N1A,G,3,1,80.67,4.16,,2019,
conSME,N1A,G,3,2,41.6,43.31,,2019,
conSME,N1A,G,4,1,46,3.25,,2019,
conSME,N1A,G,4,2,71.32,9.76,,2019,
conSME,N1A,E,3,1,23.2,5.38,,2019,
conSME,N1A,E,4,1,32.45,67.07,,2019,
conSME,N1A,E,4,2,21.33,37.16,,2019,
conSME,N1A,E,3,2,29.85,5.09,,2019,
conSME,N4B,Q,1,2,38.31,29.51,,2019,
conSME,N4B,Q,1,1,40.62,7.33,,2019,
conSME,N4B,Q,2,1,34.34,0.07,,2019,
conSME,N4B,Q,2,2,35.34,6.15,,2019,
conSME,N4B,M,1,1,39.4,0.91,,2019,
conSME,N4B,M,2,1,43.43,1.31,,2019,
conSME,N4B,M,1,2,32.87,6.02,,2019,
conSME,N4B,M,2,2,60.83,11.11,,2019,
conSME,N4B,J,4,2,39.69,1.05,,2019,
conSME,N4B,J,4,1,46.94,0.71,,2019,
conSME,N4B,J,3,1,4.27,0.45,,2019,
conSME,N4B,J,3,2,3.27,6.22,,2019,
conSME,N1A,H,3,2,81.76,23.65,,2019,
conSME,N1A,H,4,2,99.59,29.65,,2019,
conSME,N1A,H,4,1,39.27,20.6,,2019,
conSME,N1A,H,3,1,60.23,2.64,,2019,
conSME,N1A,B,1,1,73.18,25.71,1.91,2019,
conSME,N1A,B,2,1,26.87,41.03,,2019,
conSME,N1A,B,2,2,25.14,51.77,,2019,
conSME,N1A,B,1,2,48.83,25.42,0.73,2019,
conSME,N1A,I,5,2,59.6,17.76,18,2019,
conSME,N1A,I,6,1,31.07,18.62,,2019,
conSME,N1A,I,6,2,9.69,0.2,23.44,2019,
conSME,N1A,I,5,1,35.96,5.76,,2019,
conSME,N1A,C,5,1,25.27,17.76,,2019,
conSME,N1A,C,6,2,34.05,67.92,4.6,2019,
conSME,N1A,C,5,2,24.65,51.09,,2019,
conSME,N1A,C,6,1,47.62,26.69,1.11,2019,
conSME,N1A,D,1,1,53.36,18.05,1.51,2019,
conSME,N1A,D,1,2,27.22,39.4,0.39,2019,
conSME,N1A,D,2,1,23.8,19.44,,2019,
conSME,N1A,D,2,2,31.53,51.72,,2019,
conSME,N4B,N,2,1,44.11,6.96,,2019,
conSME,N4B,N,1,1,54,20.02,,2019,
conSME,N4B,N,1,2,63.83,5,,2019,
conSME,N4B,N,2,2,28.18,9.98,,2019,
conSME,N1A,E,1,1,41.53,19.78,,2019,
conSME,N1A,E,1,2,49.05,42.83,,2019,
conSME,N1A,E,2,1,43.67,8.09,,2019,
conSME,N1A,E,2,2,38.69,23.85,,2019,
conSME,N4B,N,5,1,46.22,0.67,,2019,
conSME,N4B,N,5,2,48.09,0.31,,2019,
conSME,N4B,N,6,1,7.13,13.85,,2019,
conSME,N4B,N,6,2,11.04,17.82,,2019,
conSME,N4B,J,6,2,9.51,6.51,,2019,
conSME,N4B,J,6,1,17.33,2.25,,2019,
conSME,N4B,J,5,1,56.7,0.18,,2019,
conSME,N4B,J,5,2,49.36,1.65,,2019,
conSME,N4B,P,2,1,5.51,130.92,,2019,
conSME,N4B,P,2,2,65.5,33.28,,2019,
conSME,N4B,P,1,2,26.48,30.17,,2019,
conSME,N4B,P,1,1,60.81,31,,2019,
conSME,N1A,G,1,1,51.85,5.12,,2019,
conSME,N1A,G,2,2,40.13,5.2,,2019,
conSME,N1A,G,2,1,39.45,5.54,,2019,
conSME,N1A,G,1,2,77.64,,,2019,